資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,1,臺中女中,竹北高中,3,0,臺中女中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,2,虎尾高中,中山女高,2,1,虎尾高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,4,立人高中,員林高中,3,0,立人高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,5,衛道中學,善化高中,2,1,衛道中學,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,6,嶺東中學,南大附中,0,3,南大附中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,7,市立東山,普台中學,3,0,市立東山,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,1,8,竹崎高中,文華高中,0,3,文華高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,1,竹北高中,西松高中,3,0,竹北高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,2,中山女高,建台高中,3,0,中山女高,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,3,精誠高中,忠明高中,3,0,精誠高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,4,員林高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,5,善化高中,明道中學,0,3,明道中學,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,6,南大附中,高雄女中,0,3,高雄女中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,7,普台中學,振聲高中,0,3,振聲高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,2,8,文華高中,臺中一中,3,0,文華高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,1,西松高中,臺中女中,0,3,臺中女中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,2,建台高中,虎尾高中,0,3,虎尾高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,3,忠明高中,精誠高中,0,3,精誠高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,4,臺南一中,立人高中,3,0,臺南一中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,5,明道中學,衛道中學,3,0,明道中學,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,6,高雄女中,嶺東中學,3,0,高雄女中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,7,振聲高中,市立東山,0,3,市立東山,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,3,8,臺中一中,竹崎高中,3,0,臺中一中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,4,1,臺中女中,虎尾高中,1,2,虎尾高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,4,2,精誠高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,4,3,明道中學,高雄女中,0,3,高雄女中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-24,4,4,市立東山,文華高中,1,2,文華高中,,,,,,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-25,1,1,虎尾高中,臺南一中,0,0,臺南一中,,,,,未公告比分，依最終名次判定勝方,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-25,1,2,高雄女中,文華高中,0,0,文華高中,,,,,未公告比分，依最終名次判定勝方,,,,
公開戰績,2025司改盃全國高中職辯論比賽,2025-05-25,2,1,臺南一中,文華高中,0,0,臺南一中,,,,,未公告比分，依最終名次判定勝方,,,,
公開榮譽,2025司改盃全國高中職辯論比賽,2025-05-25,,,,,,,,冠軍,臺南一中,,隊伍榮譽,,,,,
公開榮譽,2025司改盃全國高中職辯論比賽,2025-05-25,,,,,,,,亞軍,文華高中,,隊伍榮譽,,,,,
公開榮譽,2025司改盃全國高中職辯論比賽,2025-05-25,,,,,,,,季軍,虎尾高中,,隊伍榮譽,,,,,
公開榮譽,2025司改盃全國高中職辯論比賽,2025-05-25,,,,,,,,季軍,高雄女中,,隊伍榮譽,,,,,
公開榮譽,2025司改盃全國高中職辯論比賽,2025-05-25,,,,,,,,最佳辯士,林品遠,文華高中,個人榮譽,,,,,
辯題,2025司改盃全國高中職辯論比賽,,,,,,,,,,,,,,,,網路實名制對臺灣社會利大於弊 / 網路實名制對臺灣社會弊大於利,
