資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,2026西灣盃全國高中職辯論賽,,,,臺中二中,華江高中,3,0,臺中二中,,,,,小循環甲組第一場；晉級：臺中二中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,華江高中,臺中二中,3,0,華江高中,,,,,小循環甲組第二場（互換持方）；晉級：臺中二中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,三民高中,屏東女中,0,3,屏東女中,,,,,小循環乙組第一場；晉級：屏東女中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,屏東女中,三民高中,1,2,三民高中,,,,,小循環乙組第二場（互換持方）；晉級：屏東女中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,嘉義高中,鳳新高中,3,0,嘉義高中,,,,,小循環丙組第一場；晉級：嘉義高中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,鳳新高中,嘉義高中,2,1,鳳新高中,,,,,小循環丙組第二場（互換持方）；晉級：嘉義高中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,師大附中,陽明交大附中,3,0,師大附中,,,,,小循環丁組第一場；晉級：師大附中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,陽明交大附中,師大附中,2,1,陽明交大附中,,,,,小循環丁組第二場（互換持方）；晉級：師大附中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,文山高中,中山女中,0,3,中山女中,,,,,小循環戊組第一場；晉級：中山女中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,中山女中,文山高中,3,0,中山女中,,,,,小循環戊組第二場（互換持方）；晉級：中山女中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,臺南女中,德光高中,3,0,臺南女中,,,,,小循環己組第一場；晉級：臺南女中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,德光高中,臺南女中,0,3,臺南女中,,,,,小循環己組第二場（互換持方）；晉級：臺南女中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,中信國際高中,前鎮高中,3,0,中信國際高中,,,,,小循環庚組第一場；晉級：中信國際高中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,前鎮高中,中信國際高中,0,3,中信國際高中,,,,,小循環庚組第二場（互換持方）；晉級：中信國際高中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,臺南二中,東山高中,1,2,東山高中,,,,,小循環辛組第一場；晉級：臺南二中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,東山高中,臺南二中,0,3,臺南二中,,,,,小循環辛組第二場（互換持方）；晉級：臺南二中（依賽程圖）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,臺中二中,屏東女中,0,3,屏東女中,,,,,八強賽（甲對乙）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,嘉義高中,師大附中,1,2,師大附中,,,,,八強賽（丙對丁）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,中山女中,臺南女中,0,3,臺南女中,,,,,八強賽（戊對己）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,中信國際高中,臺南二中,3,0,中信國際高中,,,,,八強賽（庚對辛）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,屏東女中,師大附中,3,0,屏東女中,,,,,四強賽（民主對臺灣）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,臺南女中,中信國際高中,2,1,臺南女中,,,,,四強賽（韌性對教育）,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,屏東女中,臺南女中,1,4,臺南女中,,,,,冠亞賽,,,,
公開戰績,2026西灣盃全國高中職辯論賽,,,,師大附中,中信國際高中,1,4,中信國際高中,,,,,季殿賽,,,,
公開榮譽,2026西灣盃全國高中職辯論賽,,,,,,,,,冠軍,臺南女中,,團體,,,,,
公開榮譽,2026西灣盃全國高中職辯論賽,,,,,,,,,亞軍,屏東女中,,團體,,,,,
公開榮譽,2026西灣盃全國高中職辯論賽,,,,,,,,,季軍,中信國際高中,,團體,,,,,
公開榮譽,2026西灣盃全國高中職辯論賽,,,,,,,,,殿軍,師大附中,,團體,,,,,
公開榮譽,2026西灣盃全國高中職辯論賽,,,,,,,,,最佳辯士,蘇歆蕾,中信國際高中,個人,,,,,
辯題,2026西灣盃全國高中職辯論賽,,,,,,,,,,,,,,,,我國政府是否應在國際運動會上正名,
