資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,1,1,中和高中,北陽軍閥,3,0,中和高中,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,1,2,我這個最可愛的小寶貝,永平高中,0,3,永平高中,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,2,1,北陽軍閥,了不起的公關們,1,2,了不起的公關們,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,2,2,內湖高中,我這個最可愛的小寶貝,1,2,我這個最可愛的小寶貝,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,2,3,絕世天才,不知道要取什麼,0,3,不知道要取什麼,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,2,4,打比賽嗎各位,南湖高中,1,2,南湖高中,,,,,循環賽比序後由打比賽嗎各位晉級四強,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,3,1,了不起的公關們,中和高中,3,0,了不起的公關們,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,3,2,永平高中,內湖高中,3,0,永平高中,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,3,3,不知道要取什麼,絕世天才,3,0,不知道要取什麼,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-18,3,4,南湖高中,打比賽嗎各位,1,2,打比賽嗎各位,,,,,循環賽比序：勝場1:1、評分單3:3、論點分3:3，個人名次加總52:56,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-19,1,1,中和高中,永平高中,1,2,永平高中,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-19,1,2,不知道要取什麼,打比賽嗎各位,3,0,不知道要取什麼,,,,,,,,,
公開戰績,吊嘎盃全國高中職辯論比賽,2026-04-19,2,1,永平高中,不知道要取什麼,3,0,永平高中,,,,,決賽,,,,
公開榮譽,吊嘎盃全國高中職辯論比賽,2026-04-19,,,,,,,,冠軍,永平高中,,隊伍榮譽,,,,,
公開榮譽,吊嘎盃全國高中職辯論比賽,2026-04-19,,,,,,,,亞軍,不知道要取什麼,,隊伍榮譽,,,,,
公開榮譽,吊嘎盃全國高中職辯論比賽,2026-04-19,,,,,,,,季軍,中和高中,,隊伍榮譽,,,,,
公開榮譽,吊嘎盃全國高中職辯論比賽,2026-04-19,,,,,,,,季軍,打比賽嗎各位,,隊伍榮譽,,,,,
公開榮譽,吊嘎盃全國高中職辯論比賽,2026-04-19,,,,,,,,最佳辯士,金承陽,永平高中,個人榮譽,,,,,
公開榮譽,吊嘎盃全國高中職辯論比賽,2026-04-19,,,,,,,,最佳服裝創意獎,內湖高中,,隊伍榮譽,,,,,
辯題,吊嘎盃全國高中職辯論比賽,,,,,,,,,,,,,,,,路見不平，應拔刀相助/明哲保身,
