資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,1,1,霍金活祭皇家火雞,謝謝辯論讓我+365,1,2,謝謝辯論讓我+365,,,,,八進四第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,1,2,不知道,小丑們要特選跟分科,1,2,小丑們要特選和分科,,,,,八進四第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,1,3,小籠包,燒焦了,0,3,燒焦了,,,,,八進四第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,1,4,我們都喜歡女生,南北中正一起串連,2,1,我們都喜歡女生,,,,,八進四第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,4,1,謝謝辯論讓我+365,小丑們要特選和分科,5,0,謝謝辯論讓我+365,,,,,四強分流第四時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,4,2,燒焦了,我們都喜歡女生,4,1,燒焦了,,,,,四強分流第四時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-26,4,1,謝謝辯論讓我+365,燒焦了,0,5,燒焦了,,,,,冠亞賽,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,1,1,危雞百科,霍金活祭皇家火雞,0,3,霍金活祭皇家火雞,,,,,初賽第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,1,2,世界第一大美女何亮諼,哲何新臺幣鱷十億沅,0,3,哲何新臺幣鱷十億沅,,,,,初賽第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,1,3,不知道,雞逼雞逼甲巴甲巴,2,1,不知道,,,,,初賽第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,1,4,我們有笨蛋小狗,人右吉吉愛烤雞,2,1,我們有笨蛋小狗,,,,,初賽第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,1,5,我們都喜歡女生,莉莉說的都對,3,0,我們都喜歡女生,,,,,初賽第一時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,2,1,吳律寬,危雞百科,2,1,吳律寬,,,,,初賽第二時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,2,2,上峰小汽車誰撞誰休克,小籠包,0,3,小籠包,,,,,初賽第二時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,2,3,雞逼雞逼甲巴甲巴,別被三清,3,0,雞逼雞逼甲巴甲巴,,,,,初賽第二時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,2,4,小丑們要特選跟分科,我們有笨蛋小狗,3,0,小丑們要特選跟分科,,,,,初賽第二時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,2,5,曉明女中,燒焦了,1,2,燒焦了,,,,,初賽第二時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,3,1,小籠包,上峰小汽車誰撞誰休克,3,0,小籠包,,,,,初賽第三時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,3,2,謝謝辯論讓我+365,世界第一大美女何亮諼,3,0,謝謝辯論讓我+365,,,,,初賽第三時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,3,3,別被三清,不知道,1,2,不知道,,,,,初賽第三時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,3,4,燒焦了,曉明女中,3,0,燒焦了,,,,,初賽第三時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,3,5,我要吃火雞,我們都喜歡女生,0,3,我們都喜歡女生,,,,,初賽第三時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,4,1,霍金活祭皇家火雞,吳律寬,3,0,霍金活祭皇家火雞,,,,,初賽第四時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,4,2,哲何新臺幣鱷十億沅,謝謝辯論讓我+365,0,3,謝謝辯論讓我+365,,,,,初賽第四時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,4,4,人右吉吉愛烤雞,小丑們要特選跟分科,1,2,小丑們要特選和分科,,,,,初賽第四時段,,,,
公開戰績,火雞盃全國高中職辯論比賽,2026-04-25,4,5,莉莉說的都對,我要吃火雞,0,3,我要吃火雞,,,,,初賽第四時段,,,,
公開榮譽,火雞盃全國高中職辯論比賽,2026-04-26,,,,,,,,冠軍,燒焦了,,隊伍榮譽,,,,,
公開榮譽,火雞盃全國高中職辯論比賽,2026-04-26,,,,,,,,亞軍,謝謝辯論讓我+365,,隊伍榮譽,,,,,
公開榮譽,火雞盃全國高中職辯論比賽,2026-04-26,,,,,,,,季軍,小丑們要特選和分科,,隊伍榮譽,,,,,
公開榮譽,火雞盃全國高中職辯論比賽,2026-04-26,,,,,,,,季軍,我們都喜歡女生,,隊伍榮譽,,,,,
公開榮譽,火雞盃全國高中職辯論比賽,2026-04-26,,,,,,,,最佳辯士,高偉承,謝謝辯論讓我+365,個人榮譽,,,,,
辯題,火雞盃全國高中職辯論比賽,,,,,,,,,,,,,,,,見過了霍格華茲的煙火要/不要坦然接受自己是個麻瓜,
