資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第一屆夢箋盃,2025-04-12,1,1,臺南一中,明倫高中,2,1,臺南一中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,1,2,竹科實中,平鎮高中,2,1,竹科實中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,1,3,內壢高中,中和高中,0,3,中和高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,1,4,中壢高商,立人高中,0,3,立人高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,2,1,中和高中,衛道中學,3,0,中和高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,2,2,立人高中,永豐高中,1,2,永豐高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,2,3,明倫高中,成淵高中,3,0,明倫高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,2,4,平鎮高中,中大壢中,2,1,平鎮高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,3,1,中大壢中,竹科實中,2,1,中大壢中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,3,2,成淵高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,3,3,永豐高中,中壢高商,3,0,永豐高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-12,3,4,衛道中學,內壢高中,0,3,內壢高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-13,1,1,臺南一中,中大壢中,3,0,臺南一中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-13,1,2,中和高中,永豐高中,2,1,中和高中,,,,,,,,,
公開戰績,第一屆夢箋盃,2025-04-13,2,1,中大壢中,永豐高中,0,0,永豐高中,,,,,未公告比分，依最終名次判定勝方,,,,
公開戰績,第一屆夢箋盃,2025-04-13,3,1,臺南一中,中和高中,0,0,臺南一中,,,,,未公告比分，依最終名次判定勝方,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,冠軍,臺南一中,,隊伍榮譽,,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,亞軍,中和高中,,隊伍榮譽,,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,季軍,永豐高中,,隊伍榮譽,,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,最佳辯士,李鎧麟,中和高中,個人榮譽,,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,最佳辯士,方凱佾,臺南一中,個人榮譽,,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,最佳辯士,陳佳皇,臺南一中,個人榮譽,,,,,
公開榮譽,第一屆夢箋盃,2025-04-13,,,,,,,,最佳辯士,孫興宸,永豐高中,個人榮譽,,,,,
辯題,第一屆夢箋盃,,,,,,,,,,,,,,,,我國成年人性別變更登記應採自我決定模式 (self-determination model),
