資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,1,1,楊子甯說你很難改變一個人所以只能改辯稿,永遠懷念梁世宣,3,0,楊子甯說你很難改變一個人所以只能改辯稿,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,1,2,吟遊辯士皮陀故事集,學分辯不見,3,0,吟遊辯士皮陀故事集,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,1,3,學測倒數259天,虎尾國小,2,1,學測倒數259天,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,1,4,尚未決定,南北菜蟲一起串聯,0,3,南北菜蟲一起串聯,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,2,1,你說的都隊,長億高中A,1,2,長億高中A,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,2,2,學分辯不見,吟遊辯士皮陀故事集,0,3,吟遊辯士皮陀故事集,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,2,3,虎尾國小,學測倒數259天,1,2,學測倒數259天,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,2,4,長億高中B,屏東女中,0,3,屏東女中,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,3,1,你說的都隊,長億高中A,1,2,長億高中A,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,3,2,長億高中B,屏東女中,0,3,屏東女中,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,3,3,南北菜蟲一起串聯,尚未決定,3,0,南北菜蟲一起串聯,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-02,3,4,永遠懷念梁世宣,楊子甯說你很難改變一個人所以只能改辯稿,0,3,楊子甯說你很難改變一個人所以只能改辯稿,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,1,1,了不起的公關們,心悸大戰,1,2,心悸大戰,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,1,2,屏東女中,吟遊辯士皮陀故事集,2,1,屏東女中,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,1,3,學測倒數259天,南北菜蟲一起串聯,2,1,學測倒數259天,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,1,4,楊子甯說你很難改變一個人所以只能改辯稿,長億高中A,3,0,楊子甯說你很難改變一個人所以只能改辯稿,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,2,1,心悸大戰,屏東女中,2,1,心悸大戰,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,2,2,學測倒數259天,楊子甯說你很難改變一個人所以只能改辯稿,3,0,學測倒數259天,,,,,,,,,
公開戰績,第一屆明哲盃全國高中職辯論比賽,2026-05-03,3,1,心悸大戰,學測倒數259天,0,0,心悸大戰,,,,,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,冠軍,心悸大戰,,隊伍榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,亞軍,學測倒數259天,,隊伍榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,季軍,楊子甯說你很難改變一個人所以只能改辯稿,,隊伍榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,季軍,屏東女中,,隊伍榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,最佳辯士,張育棋,心悸大戰,個人榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,最佳辯士,薛舒晴,學測倒數259天,個人榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,最佳辯士,潘巧云,屏東女中,個人榮譽,,,,,
公開榮譽,第一屆明哲盃全國高中職辯論比賽,2026-05-03,,,,,,,,最佳辯士,徐菱遙,楊子甯說你很難改變一個人所以只能改辯稿,個人榮譽,,,,,
辯題,第一屆明哲盃全國高中職辯論比賽,,,,,,,,,,,,,,,,辯題：我國刑法222條之法律效果應增設化學去勢,
