資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,1,1,慈大附中,道明中學,0,3,道明中學,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,1,2,建竹實聯隊,新店高中,3,0,建竹實聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,1,3,失手的辯士,還是邢可柔你要收買我,3,0,失手的辯士,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,1,4,宏道辯蓮,萬芳華江家齊聯隊,0,3,萬芳華江家齊聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,1,5,南山高中,慧燈高級監獄,2,1,南山高中,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,2,1,道明中學,慈大附中,3,0,道明中學,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,2,2,拿盃幫社長在大安區租房子,百齡高中,3,0,拿盃幫社長在大安區租房子,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,2,3,萬芳華江家齊聯隊,宏道辯蓮,3,0,萬芳華江家齊聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,2,4,還是邢可柔你要收買我,失手的辯士,0,3,失手的辯士,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,3,1,新店高中,建竹實聯隊,0,3,建竹實聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,3,2,慧燈高級監獄,南山高中,0,3,南山高中,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-19,3,3,百齡高中,拿盃幫社長在大安區租房子,0,3,拿盃幫社長在大安區租房子,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,1,1,道明中學,建竹實聯隊,0,3,建竹實聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,1,2,失手的辯士,萬芳華江家齊聯隊,1,2,萬芳華江家齊聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,1,3,南山高中,政大附中,0,3,政大附中,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,1,4,汪汪隊立大功,拿盃幫社長在大安區租房子,3,0,汪汪隊立大功,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,2,1,建竹實聯隊,萬芳華江家齊聯隊,2,1,建竹實聯隊,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,2,2,政大附中,汪汪隊立大功,2,1,政大附中,,,,,,,,,
公開戰績,第一屆東岸盃全國高中職辯論比賽,2024-05-20,3,1,建竹實聯隊,政大附中,3,2,建竹實聯隊,,,,,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,冠軍,建竹實聯隊,,隊伍榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,亞軍,政大附中,,隊伍榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,季軍,萬芳華江家齊聯隊,,隊伍榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,季軍,汪汪隊立大功,,隊伍榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,最佳辯士,金哲安,失手的辯士,個人榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,縱谷之星,周澤恩,慈大附中,個人榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,優秀辯士,馬郁晴,南山高中,個人榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,優秀辯士,洪可芸,汪汪隊立大功,個人榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,優秀辯士,林奕鋐,建竹實聯隊,個人榮譽,,,,,
公開榮譽,第一屆東岸盃全國高中職辯論比賽,2024-05-20,,,,,,,,優秀辯士,蔡智鈞,建竹實聯隊,個人榮譽,,,,,
辯題,第一屆東岸盃全國高中職辯論比賽,,,,,,,,,,,,,,,,發揚原住民文化重在傳承/創新,
