資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,1,1,對方辯友 這很南說,銨芯爬陽明山,0,3,銨芯爬陽明山,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,1,2,南湖高中,學分辯辯辯,2,1,南湖高中,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,1,3,明倫高中,中和高中,1,2,中和高中,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,2,1,銨芯爬陽明山,我也不知道,3,0,銨芯爬陽明山,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,2,2,明輿陽輝,陽明高中種子隊B,0,3,陽明高中種子隊B,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,2,3,中和高中,交大附中,0,3,交大附中,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,3,1,陽明高中種子隊B,明輿陽輝,2,1,陽明高中種子隊B,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,3,2,學分辯辯辯,南湖高中,2,1,學分辯辯辯,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-16,3,3,交大附中,明倫高中,0,3,明倫高中,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-17,1,1,銨芯爬陽明山,明倫高中,3,0,銨芯爬陽明山,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-17,1,2,陽明高中種子隊B,學分辯辯辯,3,0,陽明高中種子隊B,,,,,,,,,
公開戰績,第一屆陽明盃全國辯論公開賽,2026-07-17,2,1,銨芯爬陽明山,陽明高中種子隊B,5,0,銨芯爬陽明山,,,,,,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,晉級,銨芯爬陽明山,銨芯爬陽明山,個人榮譽,循環一,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,晉級,明倫高中,明倫高中,個人榮譽,循環二,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,冠軍,銨芯爬陽明山,銨芯爬陽明山,個人榮譽,,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,亞軍,陽明高中種子隊B,陽明高中種子隊B,個人榮譽,,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,季軍,明倫高中,明倫高中,個人榮譽,,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,季軍,學分辯辯辯,學分辯辯辯,個人榮譽,,,,,
公開榮譽,第一屆陽明盃全國辯論公開賽,,,,,,,,,最佳辯士,陳秉銨,銨芯爬陽明山,個人榮譽,,,,,
辯題,第一屆陽明盃全國辯論公開賽,,,,,,,,,,,,,,,,我國應廢除重大暴力犯罪少年犯之前科塗銷制度,
