資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,1,1,中山女高,高市中正,3,0,中山女高,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,1,2,前鎮高中,興國高中B,2,1,前鎮高中,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,1,3,嘉義高中,南科實中,1,2,南科實中,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,1,4,小港高中B,興國高中A,0,3,興國高中A,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,2,1,興國高中B,高市中正B,3,0,興國高中B,,,,,；高市中正B因選手未到，故以棄賽論,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,2,2,興國高中A,小港高中B,3,0,興國高中A,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,2,3,中山高中,小港高中A,3,0,中山高中,,,,,；小港高中A未填寫選手表單，故以棄賽論,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,2,4,南科實中,嘉義高中,0,3,嘉義高中,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,3,1,高市中正B,前鎮高中,0,3,前鎮高中,,,,,；因前鎮高中、高市中正B棄賽，循環由興國高中B晉級,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,3,2,小港高中A,中山高中,0,3,中山高中,,,,,；小港高中A未填寫選手名單，故以棄賽論,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-25,3,3,高市中正A,中山女高,0,3,中山女高,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,1,1,嘉義高中,興國高中A,1,2,興國高中A,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,2,1,興國高中A,中山高中,1,2,中山高中,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,2,2,中山女高,興國高中B,3,0,中山女高,,,,,,,,,
公開戰績,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,3,1,中山女高,中山高中,0,0,中山高中,,,,,；未公告比分，依最終名次判定勝方,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,冠軍,中山高中,,隊伍榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,亞軍,中山女高,,隊伍榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,季軍,興國高中A,,隊伍榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,殿軍,興國高中B,,隊伍榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,最佳辯士,林華慈,中山高中,個人榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,優秀辯士,李馨,中山女高,個人榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,優秀辯士,蔡佩璇,興國高中A,個人榮譽,,,,,
公開榮譽,第一屆青雲盃全國高中職辯論錦標賽,2024-05-26,,,,,,,,優秀辯士,翁征承,興國高中B,個人榮譽,,,,,
辯題,第一屆青雲盃全國高中職辯論錦標賽,,,,,,,,,,,,,,,,幸福更歸屬於理性／感性,
