資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,1,師大附中,精誠中學,2,1,師大附中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,2,永豐高中B,立人高中,0,3,立人高中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,3,臺中二中,彰化高中,0,3,彰化高中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,4,竹科實中,桃園高中,3,0,竹科實中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,5,平鎮高中,建國中學,1,2,建國中學,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,6,和平高中,萬芳高中,3,0,和平高中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,7,明道中學,曉明女中,0,3,曉明女中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,1,8,衛道中學,北一女中,0,3,北一女中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,1,精誠中學,忠明高中,2,1,精誠中學,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,2,立人高中B,板橋高中,2,1,立人高中B,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,3,彰化高中,永豐高中A,3,0,彰化高中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,4,桃園高中,市立大同,0,3,市立大同,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,5,溪湖高中,平鎮高中,3,0,溪湖高中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,6,東山高中,和平高中,0,3,和平高中,,,,,,,,,
公開戰績,第七屆惠蓀盃全國高中職辯論比賽,2025-12-06,2,7,臺南護專,明道中學,0,3,明道中學,,,,,,,,,
