資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第35屆蘇州盃,2024-07-27,1,1,彰化女中,麗山高中,0,3,麗山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,1,2,桃園陽明,高雄女中,0,3,高雄女中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,1,3,百齡高中,內湖高中,2,1,百齡高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,1,4,檳城鍾靈獨立中學,松山高中,1,2,松山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,2,1,竹科實中,南大附中,3,0,竹科實中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,2,2,市立大同,市立東山,1,2,市立東山,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,2,3,新竹高中,延平中學,0,3,延平中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,2,4,鳳山高中,板橋高中,2,1,鳳山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,2,5,彰化高中,復興實中,3,0,彰化高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,2,6,高師附中,武陵高中,0,3,武陵高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,3,1,衛道中學,海山高中,2,1,衛道中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,3,2,大直高中,北一女中,2,1,大直高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,3,3,興大附中,鳳新高中,3,0,興大附中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,3,4,中和高中,南山中學,3,0,中和高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,3,5,薇閣中學,中山女高,3,0,薇閣中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-27,3,6,和平高中,高雄中學,0,3,高雄中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,1,1,永春高中,彰化女中,1,2,彰化女中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,1,2,高雄女中,桃園陽明,3,0,高雄女中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,1,3,永平高中,百齡高中,3,0,永平高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,1,4,松山高中,檳城鍾靈獨立中學,2,1,松山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,2,1,南大附中,竹科實中,2,1,南大附中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,2,2,市立東山,市立大同,0,3,市立大同,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,2,3,延平中學,華江高中,3,0,延平中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,2,4,板橋高中,鳳山高中,0,3,鳳山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,2,5,復興實中,彰化高中,0,3,彰化高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,2,6,武陵高中,高師附中,3,0,武陵高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,3,1,中崙高中,衛道中學,3,0,中崙高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,3,2,北一女中,嘉義女中,2,1,北一女中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,3,3,鳳新高中,興大附中,1,2,興大附中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,3,4,南山中學,中和高中,3,0,南山中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,3,5,中山女高,薇閣中學,0,3,薇閣中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-28,3,6,高雄中學,和平高中,3,0,高雄中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,1,1,碧華國中A,美國聯隊,0,3,美國聯隊,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,1,2,光正國中A,西苑高中國中部,1,2,西苑高中國中部,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,2,1,麗山高中,永春高中,3,0,麗山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,2,2,嘉義女中,大直高中,3,0,嘉義女中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,2,3,華江高中,新竹高中,3,0,華江高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,2,4,南山中學國中部,景興國中,2,1,南山中學國中部,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,2,5,美國聯隊,光正國中B,2,1,美國聯隊,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,2,6,碧華國中B,光正國中A,2,1,碧華國中B,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,3,1,海山高中,中崙高中,3,0,海山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,3,2,內湖高中,永平高中,3,0,內湖高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,3,3,景興國中,南山中學國中部,0,3,南山中學國中部,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,3,4,光正國中B,碧華國中A,3,0,光正國中B,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-29,3,5,西苑高中國中部,碧華國中B,2,1,西苑高中國中部,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,1,1,南山中學國中部,西苑高中國中部,3,0,南山中學國中部,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,2,1,竹科實中,興大附中,2,1,竹科實中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,2,2,麗山高中,延平中學,3,0,麗山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,2,3,市立大同,薇閣中學,0,3,薇閣中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,2,4,海山高中,鳳山高中,0,3,鳳山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,2,5,美國聯隊,南山中學國中部,3,0,美國聯隊,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,3,1,松山高中,高雄女中,3,0,松山高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,3,2,武陵高中,南山中學,0,3,南山中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,3,3,內湖高中,嘉義女中,2,1,內湖高中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,3,4,高雄中學,彰化高中,3,0,高雄中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-30,3,5,西苑高中國中部,美國聯隊,0,3,美國聯隊,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-31,1,1,松山高中,南山中學,0,9,南山中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-31,1,2,內湖高中,高雄中學,0,9,高雄中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-31,2,1,竹科實中,麗山高中,9,0,竹科實中,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-07-31,2,2,薇閣中學,鳳山高中,9,0,薇閣中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-08-01,1,1,南山中學,高雄中學,9,0,南山中學,,,,,,,,,
公開戰績,第35屆蘇州盃,2024-08-01,1,2,竹科實中,薇閣中學,4,4,薇閣中學,,,,,竹科實中獲1票總結票、薇閣中學獲2票總結票，由薇閣晉級。,,,,
公開戰績,第35屆蘇州盃,2024-08-01,2,1,南山中學,薇閣中學,0,0,南山中學,,,,,未公告比分，依最終名次判定勝方,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,冠軍,南山中學,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,亞軍,薇閣中學,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,季軍,竹科實中,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,季軍,高雄中學,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,最佳辯士,劉恩聖,薇閣中學,個人榮譽,高中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,優秀辯士,詹舒涵,南山中學,個人榮譽,高中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,優秀辯士,張睿恩,高雄中學,個人榮譽,高中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,優秀辯士,任麒永,麗山高中,個人榮譽,高中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,優秀辯士,郭奕辰,南山中學,個人榮譽,高中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組冠軍,美國聯隊,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組亞軍,南山中學國中部,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組季軍,西苑高中國中部,,隊伍榮譽,,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組最佳辯士,葉愷悌,美國聯隊,個人榮譽,國中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組優秀辯士,宏穎,美國聯隊,個人榮譽,國中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組優秀辯士,陳詠翎,南山中學國中部,個人榮譽,國中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組優秀辯士,楊千鋐,南山中學國中部,個人榮譽,國中組,,,,
公開榮譽,第35屆蘇州盃,2024-08-01,,,,,,,,國中組優秀辯士,黃宇潼,西苑高中國中部,個人榮譽,國中組,,,,
辯題,第35屆蘇州盃,,,,,,,,,,,,,,,,我國高級中等學校體育競賽之選手參賽資格規範應廢除轉學、重考就讀時間限制,
辯題,第35屆蘇州盃,,,,,,,,,,,,,,,,邁爾斯-布里格斯性格分類法能不能讓我們更正確的認識自己,
