資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,1,1,建竹實聯隊,長春小熊幫,0,3,長春小熊幫,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,1,2,永平推土機,明倫高中,2,1,永平推土機,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,1,3,了不起的公關們,竹子的英文,3,0,了不起的公關們,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,2,1,梭哈要曙光不要輸光,世宣67,0,3,世宣67,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,2,2,百齡高中,能不能和我留在台北,2,1,百齡高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,2,3,黃山過台灣,南山高中,1,2,南山高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,3,1,長春小熊幫,建竹實聯隊,3,0,長春小熊幫,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,3,2,明倫高中,永平推土機,0,3,永平推土機,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,3,3,竹子的英文,了不起的公關們,0,3,了不起的公關們,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-13,3,4,能不能和我留在台北,百齡高中,1,2,百齡高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-14,1,1,世宣67,梭哈要曙光不要輸光,3,0,世宣67,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-14,1,2,南山高中,黃山過台灣,2,1,南山高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-14,2,1,永平推土機,我心目中的佳辯逢雨停,0,3,我心目中的佳辯逢雨停,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-14,2,2,了不起的公關們,世宣67,0,3,世宣67,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-14,3,1,成功高中,長春小熊幫,3,0,成功高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-14,3,2,南山高中,百齡高中,3,0,南山高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-15,1,1,我心目中的佳辯逢雨停,世宣67,1,2,世宣67,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-15,1,2,成功高中,南山高中,0,3,南山高中,,,,,,,,,
公開戰績,第二十一屆辯革盃全國高中辯論比賽,2026-08-15,2,,世宣67,南山高中,2,3,南山高中,,,,,,,,,
公開榮譽,第二十一屆辯革盃全國高中辯論比賽,,,,,,,,,冠軍,南山高中,,隊伍榮譽,,,,,
公開榮譽,第二十一屆辯革盃全國高中辯論比賽,,,,,,,,,亞軍,世宣67,,隊伍榮譽,,,,,
公開榮譽,第二十一屆辯革盃全國高中辯論比賽,,,,,,,,,季軍,成功高中,,隊伍榮譽,,,,,
公開榮譽,第二十一屆辯革盃全國高中辯論比賽,,,,,,,,,季軍,我心目中的佳辯逢雨停,,隊伍榮譽,,,,,
辯題,第二十一屆辯革盃全國高中辯論比賽,,,,,,,,,,,,,,,,成為自己討厭的人，是/不是件壞事,
