資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第二十一屆齊揚盃,2026-03-14,1,1,北一女中,師大附中,1,2,師大附中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,2,內壢高中,小港高中,3,0,內壢高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,3,西松高中,成功高中,1,2,成功高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,4,臺中一中,臺南一中,2,1,臺中一中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,5,中山高中,臺南二中,0,3,臺南二中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,6,東港高中,建國中學,1,2,建國中學,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,7,明道中學,興大附中,3,0,明道中學,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,1,8,南湖高中,中山女高,1,2,中山女高,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,1,平鎮高中,北一女中,1,2,北一女中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,2,武陵高中,內壢高中,3,0,武陵高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,3,新竹高商,西松高中,1,2,西松高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,4,家齊高中,臺中一中,2,1,家齊高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,5,市立東山,中山高中,3,0,市立東山,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,6,竹科實中,東港高中,2,1,竹科實中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,7,中信國際,明道中學,0,3,明道中學,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,2,8,曉明女中,南湖高中,2,1,曉明女中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,1,師大附中,平鎮高中,3,0,師大附中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,2,小港高中,武陵高中,0,3,武陵高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,3,成功高中,新竹高商,3,0,成功高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,4,臺南一中,家齊高中,3,0,臺南一中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,5,臺南二中,市立東山,0,3,市立東山,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,6,建國中學,竹科實中,3,0,建國中學,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,7,興大附中,中信國際,0,3,中信國際,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-14,3,8,中山女高,曉明女中,2,1,中山女高,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,1,1,師大附中,武陵高中,0,3,武陵高中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,1,2,成功高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,1,3,市立東山,建國中學,3,0,市立東山,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,1,4,明道中學,中山女高,3,0,明道中學,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,2,1,武陵高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,2,2,市立東山,明道中學,3,0,市立東山,,,,,,,,,
公開戰績,第二十一屆齊揚盃,2026-03-15,3,1,臺南一中,市立東山,3,2,臺南一中,,,,,冠亞賽；原公告註記：因有一張評分單平分，故以論點分判定,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,冠軍,臺南一中,,隊伍榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,亞軍,市立東山,,隊伍榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,季軍,明道中學,,隊伍榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,季軍,武陵高中,,個人榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,最佳辯士,林軒嘉,明道中學,個人榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,最佳辯士,陳筳皓,武陵高中,個人榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,最佳辯士,蘇博原,臺南一中,個人榮譽,,,,,
公開榮譽,第二十一屆齊揚盃,2026-03-15,,,,,,,,最佳辯士,蔡秉譯,市立東山,個人榮譽,,,,,
辯題,第二十一屆齊揚盃,,,,,,,,,,,,,,,,憂鬱文學的興起對現代年輕族群是利大於弊/弊大於利,
