資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,1,協同中學,長榮中學,1,2,長榮中學,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,2,新北三民,大直高中,2,1,新北三民,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,3,武陵高中,海山高中,3,0,武陵高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,4,文華高中,忠明高中,3,0,文華高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,5,高師附中,明倫高中,3,0,高師附中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,6,曙光女中,內壢高中,3,0,曙光女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,7,中大壢中,高雄中學,0,3,高雄中學,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,8,華僑高中,虎尾高中,0,3,虎尾高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,1,9,麗山高中,華江高中,2,1,麗山高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,1,桃園高中,新店高中,3,0,桃園高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,2,永春高中,臺中二中,3,0,永春高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,3,北一女中,成功高中,0,3,成功高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,4,員林高中,南科實中,3,0,員林高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,5,新竹女中,豐原高中,2,1,新竹女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,6,慧燈中學,光復高中,3,0,慧燈中學,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,7,新化高中,永平高中,0,3,永平高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,8,鳳新高中,高市中正,0,3,高市中正,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,2,9,興國高中,市立東山,1,2,市立東山,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,1,屏東女中,新北三民,3,0,屏東女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,2,明道中學,斗六高中,1,2,斗六高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,3,中和高中,嘉義女中,0,3,嘉義女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,4,延平中學,大灣高中,3,0,延平中學,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,5,小港高中,成淵高中,0,3,成淵高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,6,中崙高中,和平高中,0,3,和平高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,7,松山高中,臺東高中,3,0,松山高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,8,南湖高中,建功高中,2,1,南湖高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-04,3,9,竹科實中,陽明高中,3,0,竹科實中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,1,新店高中,桃園高中,2,1,新店高中,,,,,循環晉級結果為桃園高中,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,2,市立東山,興國高中,1,2,興國高中,,,,,循環晉級結果為市立東山,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,3,臺南二中,永春高中,3,0,臺南二中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,4,港明高中,衛道中學,3,0,港明高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,5,中山女高,鳳新高中,3,0,中山女高,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,6,南科實中,員林高中,1,2,員林高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,7,永平高中,建國中學,2,1,永平高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,8,百齡高中,政大附中,1,2,政大附中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,1,9,竹北高中,嶺東高中,2,1,竹北高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,1,羅東高中,市立大同,0,3,市立大同,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,2,師大附中,中山高中,2,1,師大附中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,3,竹東高中,武陵高中,0,3,武陵高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,4,南大附中,竹科實中,1,2,竹科實中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,5,立人高中,中和高中,0,3,中和高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,6,平鎮高中,慧燈中學,3,0,平鎮高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,7,臺東高中,松山高中,0,3,松山高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,8,大灣高中,延平中學,0,3,延平中學,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,2,9,彰化女中,新竹女中,0,3,新竹女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,1,內湖高中,協同中學,3,0,內湖高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,2,斗六高中,高雄女中,0,3,高雄女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,3,景美女中,北商五專,3,0,景美女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,4,大直高中,屏東女中,0,3,屏東女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,5,忠明高中,臺中女中,0,3,臺中女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,6,和平高中,薇閣中學,3,0,和平高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,7,南山高中,新竹高中,3,0,南山高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,8,溪湖高中,麗山高中,2,1,溪湖高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-05,3,9,明倫高中,高師附中,0,3,高師附中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,1,中山高中,師大附中,0,3,師大附中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,2,光復高中,平鎮高中,0,3,平鎮高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,3,陽明高中,南大附中,3,0,陽明高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,4,嘉義女中,立人高中,3,0,嘉義女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,5,建功高中,南湖高中,3,0,建功高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,6,市立大同,羅東高中,3,0,市立大同,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,7,豐原高中,彰化女中,0,3,彰化女中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,1,8,成淵高中,小港高中,3,0,成淵高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,1,長榮中學,內湖高中,0,3,內湖高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,2,衛道中學,港明高中,1,2,港明高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,3,高雄中學,中大壢中,3,0,高雄中學,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,4,臺中二中,臺南二中,2,1,臺中二中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,5,海山高中,竹東高中,1,2,竹東高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,6,高市中正,中山女高,2,1,高市中正,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,7,華江高中,溪湖高中,0,3,溪湖高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,8,成功高中,北一女中,3,0,成功高中,,,,,,,,,
公開戰績,第二十七屆高中菁英盃,2025-02-06,2,9,建國中學,新化高中,3,0,建國中學,,,,,,,,,
