資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第二十八屆高中菁英盃,2026-01-30,3,3,彰化高中,延平中學,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-30,3,4,瑞祥高中,臺中女中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,1,大直高中,斗南高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,2,華僑高中,永豐高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,3,大灣高中,文華高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,4,臺東高中,建功高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,5,桃園高中,曙光高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,6,嘉科實中,板橋高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,7,海山高中,私立東山,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,8,新竹高商,市立東山,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,9,臺南二中,嘉華中學,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,1,10,虎尾高中,德光高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,1,中崙高中,臺中二中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,2,松山高中,南科實中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,3,臺南女中,內壢高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,4,瑞祥高中,中山高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,5,臺南一中,臺中一中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,6,和平高中,明道中學,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,7,薇閣中學,武陵高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,8,立人高中,協同中學,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,9,聖心女中,道明中學,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,2,10,北商五專,豐原高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,1,忠明高中,中和高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,2,板橋高中,西松高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,3,南山高中,麗山高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,4,內湖高中,成功高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,5,高雄女中,桃園陽明,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,6,竹科實中,交大附中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,7,延平中學,成淵高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,8,中山女高,景美女中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,9,建國中學,中大壢中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-26,3,10,慧燈中學,屏東女中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,1,臺中二中,中崙高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,2,道明中學,聖心女中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,3,高師附中,嶺東高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,4,協同中學,立人高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,5,中山高中,瑞祥高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,6,衛道中學,港明高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,7,武陵高中,華江高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,8,豐原高中,新竹高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,9,南科實中,鳳新高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,1,10,高雄中學,曉明女中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,1,彰化高中,虎尾高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,2,市立東山,百齡高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,3,前鎮高中,大灣高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,4,交大附中,溪湖高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,5,平鎮高中,南湖高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,6,明倫高中,和平高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,7,北一女中,永春高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,8,市立大同,建國中學,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,2,9,西松高中,嘉科實中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,1,復旦高中,大直高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,2,竹東高中,海山高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,3,屏東女中,永仁高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,4,臺中女中,華僑高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,5,嘉義女中,忠明高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,6,麗山高中,新店高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,7,中信高中,臺南二中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,8,曙光女中,桃園高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,9,成淵高中,斗六高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-27,3,10,建功高中,政大附中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,1,內壢高中,臺南女中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,2,明道中學,明倫高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,3,溪湖高中,竹科實中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,4,南湖高中,平鎮高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,5,中大壢中,市立大同,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,6,景美女中,中山女高,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,7,羅東高中,高市中正,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,8,桃園陽明,高雄女中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,9,成功高中,內湖高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,1,10,永春高中,北一女中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,1,斗南高中,復旦高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,2,鳳新高中,松山高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,3,曉明女中,高雄中學,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,4,永仁高中,慧燈中學,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,5,文華高中,前鎮高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,6,中和高中,嘉義女中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,7,嘉華中學,中信高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,8,政大附中,臺東高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,9,港明高中,衛道中學,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,2,10,斗六高中,延平中學,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,1,百齡高中,竹商五專,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,2,臺中一中,臺南一中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,3,新店高中,南山高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,4,高市中正,羅東高中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,5,嶺東高中,高師附中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,6,新竹高中,北商五專,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,7,德光高中,彰化高中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,8,華江高中,薇閣中學,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,9,市立東山,竹東高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-28,3,10,永豐高中,臺中女中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,1,屏東女中,成功高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,2,交大附中,和平高中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,3,臺南二中,景美女中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,4,西松高中,北一女中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,5,桃園高中,薇閣中學,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,6,建國中學,高師附中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,7,延平中學,高雄中學,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,1,8,高雄女中,道明中學,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,2,1,百齡高中,臺中二中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,2,2,港明高中,臺南女中,1,2,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,2,3,高市中正,瑞祥高中,0,3,反方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,2,4,臺南一中,新竹女中,2,1,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,2,5,成功高中,嘉義女中,3,0,正方勝,,,,,,,,,
公開戰績,第二十八屆高中菁英盃,2026-01-29,2,6,交大附中,平鎮高中,3,0,正方勝,,,,,,,,,
