資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,1,1,球球不見了,觸電的那種感覺,2,1,球球不見了,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,1,2,永平紫極演辯社,南山高中,3,0,永平紫極演辯社,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,1,3,分科不如分手,還沒想好耶,3,0,分科不如分手,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,1,4,海底撈已經金海的會員,我們的友情不需要辯革,1,2,我們的友情不需要辯革,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,1,5,請用安平熱到造個句子,和平高中,3,0,請用安平熱到造個句子,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,1,6,你怎麼知道你的腦存在,笑死,0,3,笑死,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,1,無教練的小朋友,板橋高中,3,0,無教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,2,觸電的那種感覺,學長我們明年見,2,1,觸電的那種感覺,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,3,南山高中,被愛情辜負但我仍純愛,3,0,南山高中,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,4,還沒想好耶,教練是dinner,2,1,還沒想好耶,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,5,我們的友情不需要辯革,對不起我們有漂亮學姊,3,0,我們的友情不需要辯革,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,6,曉明女中,請用安平熱到造個句子,1,2,請用安平熱到造個句子,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,7,我們還找不到隊友啦,你怎麼知道你的腦存在,2,1,我們還找不到隊友啦,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,3,8,胡教練的小朋友,明倫高中,3,0,胡教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,1,板橋高中無教練的小朋友,無教練的小朋友,3,0,板橋高中,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,2,學長我們明年見,球球不見了,3,0,學長我們明年見,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,3,被愛情辜負但我仍純愛,永平紫極演辯社,0,3,永平紫極演辯社,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,4,教練是dinner,分科不如分手,1,2,分科不如分手,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,5,對不起我們有漂亮學姊,海底撈已經金海的會員,0,3,海底撈已經金海的會員,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,6,和平高中,曉明女中,3,0,和平高中,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,7,笑死,我們還找不到隊友啦,3,0,笑死,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-25,2,8,明倫高中,胡教練的小朋友,1,2,胡教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,1,1,無教練的小朋友,觸電的那種感覺,2,1,無教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,1,2,學長我們明年見,板橋高中,0,3,板橋高中,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,1,3,永平紫極演辯社,還沒想好耶,2,1,永平紫極演辯社,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,1,4,分科不如分手,南山高中,2,1,分科不如分手,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,2,1,我們的友情不需要辯革,和平高中,2,1,我們的友情不需要辯革,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,2,2,請用安平熱到造個句子,海底撈已經金海的會員,3,0,請用安平熱到造個句子,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,2,3,笑死,明倫高中,3,0,笑死,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,2,4,胡教練的小朋友,我們還找不到隊友啦,3,0,胡教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,3,1,無教練的小朋友,板橋高中,3,0,無教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,3,2,永平紫極演辯社,分科不如分手,0,3,分科不如分手,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,3,3,我們的友情不需要辯革,請用安平熱到造個句子,0,3,請用安平熱到造個句子,,,,,暫定：原始貼文曾被折疊，依補充內容判定,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-26,3,4,笑死,胡教練的小朋友,3,0,笑死,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-27,1,1,無教練的小朋友,分科不如分手,2,1,無教練的小朋友,,,,,,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-27,1,2,請用安平熱到造個句子,笑死,3,0,請用安平熱到造個句子,,,,,秩序冊白堊紀 vs 侏儸紀為誤植，依更新賽程修正,,,,
公開戰績,第二十屆辯革盃全國高中職辯論比賽,2025-07-27,2,1,無教練的小朋友,請用安平熱到造個句子,1,2,請用安平熱到造個句子,,,,,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,冠軍,請用安平熱到造個句子,,隊伍榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,亞軍,無教練的小朋友,,隊伍榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,季軍,分科不如分手,,隊伍榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,季軍,笑死,,隊伍榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,申論王,鄭又仁,,個人榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,質詢王,楊璽勳,,個人榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,答辯王,盧柏翰,,個人榮譽,,,,,
公開榮譽,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,全程最佳辯士,張百黎,,個人榮譽,,,,,
辯題,第二十屆辯革盃全國高中職辯論比賽,,,,,,,,,,,,,,,,註定分開的愛情還要／不要開始,
