資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,3,1,南山高中,建國中學,5,0,南山高中,,,,,決賽,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,2,1,南山高中,馬公高中,3,0,南山高中,,,,,四強,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,2,2,瑞祥高中,建國中學,0,3,建國中學,,,,,四強,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,1,1,南山高中,麗山高中,3,0,南山高中,,,,,複賽第一時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,1,2,延平高中,馬公高中,1,2,馬公高中,,,,,複賽第一時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,1,3,東山高中,瑞祥高中,0,3,瑞祥高中,,,,,複賽第一時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,1,4,建國中學,師大附中,3,0,建國中學,,,,,複賽第一時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,3,1,復旦高中,南山高中,3,0,復旦高中,,,,,初賽第三時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,3,2,景美女中,麗山高中,2,1,景美女中,,,,,初賽第三時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,3,3,瑞祥高中,內湖高中,3,0,瑞祥高中,,,,,初賽第三時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,3,4,永春高中,師大附中,0,3,師大附中,,,,,初賽第三時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,2,1,麗山高中,景美女中,2,1,麗山高中,,,,,初賽第二時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,2,2,南山高中,復旦高中,3,0,南山高中,,,,,初賽第二時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,2,3,師大附中,永春高中,1,2,永春高中,,,,,初賽第二時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,2,4,板橋高中,建國中學,1,2,建國中學,,,,,初賽第二時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,2,5,華江高中,東山高中,0,3,東山高中,,,,,初賽第二時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,1,1,建國中學,板橋高中,2,1,建國中學,,,,,初賽第一時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,1,2,內湖高中,瑞祥高中,0,3,瑞祥高中,,,,,初賽第一時段,,,,
公開戰績,第五屆輔仁盃全國高中職辯論比賽,2026-05-16,1,3,東山高中,華江高中,0,3,華江高中,,,,,初賽第一時段,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,冠軍,南山高中,,隊伍榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,亞軍,建國中學,,隊伍榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,季軍,瑞祥高中,,隊伍榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,季軍,馬公高中,,隊伍榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,最佳辯士,李欣芸,南山高中,個人榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,最佳辯士,蔡子竣,南山高中,個人榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,最佳辯士,賴研晰,瑞祥高中,個人榮譽,,,,,
公開榮譽,第五屆輔仁盃全國高中職辯論比賽,2026-05-17,,,,,,,,最佳辯士,蔡育瑞,建國中學,個人榮譽,,,,,
辯題,第五屆輔仁盃全國高中職辯論比賽,,,,,,,,,,,,,,,,我國動產擔保制度應納入浮動擔保,
