資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,1,海山高中,明倫高中B,0,3,明倫高中B,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,2,政大附中,麗山高中A,3,0,政大附中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,3,市立復興,明倫高中A,0,3,明倫高中A,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,4,復旦高中,中大壢中,1,2,中大壢中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,5,中崙高中,板橋高中,1,2,板橋高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,6,西松高中,東山高中,3,0,西松高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,1,7,大理高中,羅東高中,0,3,羅東高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,1,明倫高中B,海山高中,2,1,明倫高中B,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,2,麗山高中A,政大附中,0,3,政大附中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,3,麗山高中B,新竹高中,1,2,新竹高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,4,中大壢中,復旦高中,2,1,中大壢中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,5,板橋高中,中崙高中,0,3,中崙高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,6,成功高中,桃園高中,2,1,成功高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,2,7,薇閣中學,中和高中,3,0,薇閣中學,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,1,中和高中,薇閣中學,0,3,薇閣中學,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,2,桃園高中,成功高中,0,3,成功高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,3,明倫高中A,市立復興,3,0,明倫高中A,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,4,景美女中,華僑高中,0,3,華僑高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,5,新竹高中,麗山高中B,0,3,麗山高中B,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,6,東山高中,西松高中,0,3,西松高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-08,3,7,羅東高中,大理高中,0,3,大理高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-09,1,1,百齡高中,和平高中,3,0,百齡高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-09,1,2,武陵高中,內壢高中,3,0,武陵高中,,,,,,,,,
公開戰績,第十九屆北區聯合新生盃辯論比賽,2025-11-09,1,3,延平中學,陽交附中,3,0,延平中學,,,,,,,,,
