資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-24,2,1,成功高中,高雄中學,1,2,高雄中學,,,,,四強分流,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-24,2,2,中山女高,明道中學,2,1,中山女高,,,,,四強分流,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-24,1,1,成功高中,新竹女中,3,0,成功高中,,,,,複賽,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-24,1,2,高雄中學,南山高中,3,0,高雄中學,,,,,複賽,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-24,1,3,嘉義女中,中山女高,0,3,中山女高,,,,,複賽,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-24,1,4,臺中女中,明道中學,1,2,明道中學,,,,,複賽,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,4,1,新竹高中,新竹女中,0,3,新竹女中,,,,,初賽第四時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,4,2,桃園高中,明道中學,1,2,明道中學,,,,,初賽第四時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,4,3,師大附中,南山高中,1,2,南山高中,,,,,初賽第四時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,4,4,竹東高中,臺南女中,2,1,竹東高中,,,,,初賽第四時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,4,5,松山高中,嘉義女中,0,3,嘉義女中,,,,,初賽第四時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,3,1,成功高中,港明高中,3,0,成功高中,,,,,初賽第三時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,3,2,臺中女中,成淵高中,2,1,臺中女中,,,,,初賽第三時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,3,3,武陵高中,高雄中學,0,3,高雄中學,,,,,初賽第三時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,3,4,明道中學,桃園高中,3,0,明道中學,,,,,初賽第三時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,3,5,臺南女中,中山女高,1,2,中山女高,,,,,初賽第三時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,2,1,交大附中,新竹高中,3,0,交大附中,,,,,初賽第二時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,2,2,成淵高中,臺中女中,1,2,臺中女中,,,,,初賽第二時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,2,3,文華高中,武陵高中,3,0,文華高中,,,,,初賽第二時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,2,4,中山女高,竹東高中,3,0,中山女高,,,,,初賽第二時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,2,5,平鎮高中,松山高中,2,1,平鎮高中,,,,,初賽第二時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,1,1,港明高中,成功高中,0,3,成功高中,,,,,初賽第一時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,1,2,新竹女中,交大附中,2,1,新竹女中,,,,,初賽第一時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,1,3,高雄中學,文華高中,3,0,高雄中學,,,,,初賽第一時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,1,4,南山高中,師大附中,1,2,師大附中,,,,,初賽第一時段,,,,
公開戰績,第十五屆風雩盃中學辯論錦標賽,2026-05-23,1,5,嘉義女中,平鎮高中,3,0,嘉義女中,,,,,初賽第一時段,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,冠軍,高雄中學,,隊伍榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,亞軍,中山女高,,隊伍榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,季軍,明道中學,,隊伍榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,殿軍,成功高中,,隊伍榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳秉銨,高雄中學,個人榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,劉芷甯,中山女高,個人榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳彥碩,明道中學,個人榮譽,,,,,
公開榮譽,第十五屆風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳羿廷,成功高中,個人榮譽,,,,,
辯題,第十五屆風雩盃中學辯論錦標賽,,,,,,,,,,,,,,,,當代耽美文化有利於／不利於消除男性中心主義,
