資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,1,1,北一女中,建功高中,3,0,北一女中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,1,2,嶺東高中,港明高中,0,3,港明高中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,1,3,高市三民,高雄中學,3,0,高市三民,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,1,4,臺南一中,明道中學,2,1,臺南一中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,2,1,南山高中,臺南女中,3,0,南山高中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,2,2,竹科實中,南大附中,1,2,南大附中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,2,3,師大附中,嘉義女中,3,0,師大附中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,2,4,成淵高中,嘉華中學,3,0,成淵高中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,2,5,高師附中,家齊高中,1,2,家齊高中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,3,1,中山高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-20,3,2,中山女高,瑞祥高中,3,0,中山女高,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,1,1,臺南女中,政大附中,3,0,臺南女中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,1,2,嘉義高中,中大壢中,0,3,中大壢中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,1,3,虎尾高中A,中和高中,0,3,中和高中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,1,4,嘉華中學,前鎮高中,1,2,前鎮高中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,1,5,家齊高中,虎尾高中B,0,3,虎尾高中B,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,2,1,屏東女中,北一女中,3,0,屏東女中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,2,2,南大附中,麗山高中,3,0,南大附中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,2,3,嘉義女中,高雄女中,1,2,高雄女中,,,,,,,,,
公開戰績,第十六屆明京盃全國高中職辯論比賽,2025-08-21,2,4,曉明女中,鳳山高中,3,0,曉明女中,,,,,,,,,
