資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,1,1,斗六高中,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,1,2,西松高中,虎尾高中（二）,0,3,虎尾高中（二）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,1,3,馬公高中（一）,虎尾高中（一）,2,1,馬公高中（一）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,1,4,新竹高中（一）,馬公高中（二）,1,2,馬公高中（二）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,1,5,員林高中,中山女高,0,3,中山女高,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,2,1,臺南一中,斗六高中,3,0,臺南一中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,2,2,武陵高中,聖功女中,3,0,武陵高中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,2,3,虎尾高中（二）,西松高中,0,3,西松高中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,2,4,虎尾高中（三）,新竹高中（二）,0,3,新竹高中（二）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,2,5,中山女高,員林高中,3,0,中山女高,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,3,1,虎尾高中（一）,馬公高中（一）,0,3,馬公高中（一）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,3,2,聖功女中,武陵高中,0,3,武陵高中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,3,3,新竹高中（二）,虎尾高中（三）,1,2,虎尾高中（三）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-13,3,4,馬公高中（二）,新竹高中（一）,2,1,馬公高中（二）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-14,1,2,新竹高中（二）,馬公高中（一）,0,3,馬公高中（一）,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-14,1,3,虎尾高中（二）,臺南一中,0,3,臺南一中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-14,1,4,馬公高中（二）,中山女高,1,2,中山女高,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-14,2,2,馬公高中（一）,臺南一中,1,2,臺南一中,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-14,2,3,武陵高中,中山女高,0,3,中山女高,,,,,,,,,
公開戰績,第十屆雲啟盃辯論比賽,2025-12-14,1,1,中山女高,臺南一中,0,0,臺南一中,,,,,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,冠軍,臺南一中,臺南一中,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,亞軍,中山女高,中山女高,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,季軍,武陵高中,武陵高中,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,殿軍,馬公高中（一）,馬公高中（一）,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,最佳辯士,徐愷宏,臺南一中,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,最佳辯士,陳品捷,中山女高,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,最佳辯士,陳筳皓,武陵高中,個人榮譽,,,,,
公開榮譽,第十屆雲啟盃辯論比賽,,,,,,,,,最佳辯士,林子芹,馬公高中（一）,個人榮譽,,,,,
辯題,第十屆雲啟盃辯論比賽,,,,,,,,,,,,,,,,我國應設立投票權行使之前提性公民素養標準,
