資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,1,1,板橋高中,內湖高中,0,3,內湖高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,1,2,臺南一中,東山高中,1,2,東山高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,1,3,和平高中,永春高中,2,1,和平高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,1,4,南大附中,屏東女中,2,1,南大附中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,1,5,薇閣高中,復興高中,3,0,薇閣高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,1,6,臺中二中,文華高中,2,1,臺中二中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,1,內湖高中,內壢高中,1,2,內壢高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,2,東山高中,延平中學,0,3,延平中學,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,3,永春高中,曙光女中,0,3,曙光女中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,4,屏東女中,馬公高中,3,0,屏東女中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,5,復興高中,瑞祥高中,0,3,瑞祥高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,6,永平高中,南山高中,0,3,南山高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,7,文華高中,中正高工,3,0,文華高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,2,8,北一女中,高雄中學,1,2,高雄中學,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,1,內壢高中,板橋高中,0,3,板橋高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,2,延平中學,臺南一中,2,1,延平中學,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,3,曙光女中,和平高中,0,3,和平高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,4,馬公高中,南大附中,3,0,馬公高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,5,瑞祥高中,薇閣高中,3,0,瑞祥高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,6,南山高中,永平高中,3,0,南山高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,7,中正高工,臺中二中,1,2,臺中二中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-24,3,8,高雄中學,北一女中,0,3,北一女中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,1,1,內湖高中,延平中學,0,3,延平中學,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,1,2,和平高中,屏東女中,1,2,屏東女中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,1,3,瑞祥高中,南山高中,1,2,南山高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,1,4,臺中二中,北一女中,2,1,臺中二中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,2,1,延平中學,屏東女中,3,0,延平中學,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,2,2,南山高中,臺中二中,3,0,南山高中,,,,,,,,,
公開戰績,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,3,1,延平中學,南山高中,0,5,南山高中,,,,,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,冠軍,南山高中,,隊伍榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,亞軍,延平中學,,隊伍榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,季軍,屏東女中,,隊伍榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,季軍,臺中二中,,隊伍榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,最佳辯士,王文杉,南山高中,個人榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,最佳辯士,張宸紳,延平中學,個人榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,最佳辯士,李祐慈,屏東女中,個人榮譽,,,,,
公開榮譽,第四屆輔仁盃全國高中職辯論比賽,2025-05-25,,,,,,,,最佳辯士,陳愉絜,臺中二中,個人榮譽,,,,,
辯題,第四屆輔仁盃全國高中職辯論比賽,,,,,,,,,,,,,,,,我國加價販售遊樂票券應合法化,
